station_code,station_name,record_time,temperature,humidity,dew_point,wind_gust,wind_speed,rainfall_current,rainfall_hour,rainfall_day,wind_direction,wind_degree,wind_description,mean_sea_level_pressure,station_pressure
UM,澳門大學,2026-05-30T18:45:00,29.2,77.0,24.9,16.2,9.4,0.0,0.0,0.0,S,183.0,南,1008.8,1008.1
DC,路環市區,2026-05-30T20:05:00,29.8,75.0,24.8,8.3,4.3,0.0,0.0,0.0,SSW,200.0,西南偏南,,
DP,紀念孫中山市政公園,2026-05-30T20:05:00,29.4,74.0,24.4,11.9,5.4,0.0,0.0,0.0,SW,234.0,西南,,
EM,黑沙環,2026-05-30T20:05:00,30.0,72.0,24.3,12.6,5.8,0.0,0.0,0.0,NNE,18.0,東北偏北,,
FM,大炮台,2026-05-30T20:05:00,29.3,73.0,24.0,13.7,6.8,0.0,0.0,0.0,SW,229.0,西南,,
JA,東亞運大馬路,2026-05-30T20:05:00,29.1,77.0,24.7,5.8,3.2,0.0,0.0,0.0,SW,231.0,西南,1009.1,1008.4
KV,九澳,2026-05-30T20:05:00,28.1,83.0,24.9,13.0,7.6,0.0,0.0,0.0,SSW,210.0,西南偏南,1009.3,1006.1
MM,媽閣,2026-05-30T20:05:00,29.4,73.0,24.1,14.4,7.9,0.0,0.0,0.0,SSW,207.0,西南偏南,1009.3,1007.5
MN,澳門大橋北,2026-05-30T20:05:00,,,,18.7,15.8,,,,WSW,246.0,西南偏西,,
MS,澳門大橋南,2026-05-30T20:05:00,,,,15.5,11.9,,,,SSW,201.0,西南偏南,,
PE,外港,2026-05-30T20:05:00,29.5,74.0,24.5,19.1,9.4,0.0,0.0,0.0,S,187.0,南,1009.0,1007.1
PG,嘉樂庇總督大橋,2026-05-30T20:05:00,,,,18.7,15.1,,,,WSW,252.0,西南偏西,,
PL,蓮花大橋,2026-05-30T20:05:00,,,,13.3,9.7,,,,SSW,204.0,西南偏南,,
PN,友誼大橋北,2026-05-30T20:05:00,,,,16.6,12.6,,,,SW,233.0,西南,,
PS,友誼大橋南,2026-05-30T20:05:00,,,,16.2,13.3,,,,WSW,256.0,西南偏西,,
PV,西灣大橋,2026-05-30T20:05:00,,,,21.2,16.2,,,,WSW,244.0,西南偏西,,
TG,大潭山,2026-05-30T20:05:00,27.9,82.0,24.7,16.2,8.3,0.0,0.0,0.0,SSW,208.0,西南偏南,1009.2,996.3
UM,澳門大學,2026-05-30T20:05:00,28.9,78.0,24.6,13.3,8.6,0.0,0.0,0.0,SSW,203.0,西南偏南,1008.9,1008.2
DC,路環市區,2026-05-30T22:15:00,29.3,79.0,25.2,7.9,2.5,0.0,0.0,0.0,SSW,201.0,西南偏南,,
DP,紀念孫中山市政公園,2026-05-30T22:15:00,29.3,77.0,24.9,9.7,5.4,0.0,0.0,0.0,SW,236.0,西南,,
EM,黑沙環,2026-05-30T22:15:00,29.4,78.0,25.2,10.8,6.8,0.0,0.0,0.0,SE,132.0,東南,,
FM,大炮台,2026-05-30T22:15:00,28.8,78.0,24.5,13.3,4.0,0.0,0.0,0.0,S,161.0,南,,
JA,東亞運大馬路,2026-05-30T22:15:00,29.0,80.0,25.1,8.6,4.3,0.0,0.0,0.0,SE,146.0,東南,1010.1,1009.4
KV,九澳,2026-05-30T22:15:00,27.4,87.0,25.2,13.3,7.2,0.0,0.0,0.0,SSW,195.0,西南偏南,1010.3,1007.1
MM,媽閣,2026-05-30T22:15:00,28.9,78.0,24.6,6.1,4.3,0.0,0.0,0.0,WSW,245.0,西南偏西,1010.3,1008.4
MN,澳門大橋北,2026-05-30T22:15:00,,,,15.5,13.3,,,,SSW,200.0,西南偏南,,
MS,澳門大橋南,2026-05-30T22:15:00,,,,17.3,13.7,,,,SSW,207.0,西南偏南,,
PE,外港,2026-05-30T22:15:00,29.0,79.0,25.0,14.0,11.2,0.0,0.0,0.0,S,166.0,南,1009.9,1008.0
PG,嘉樂庇總督大橋,2026-05-30T22:15:00,,,,12.2,9.4,,,,SSW,193.0,西南偏南,,
PL,蓮花大橋,2026-05-30T22:15:00,,,,12.2,9.4,,,,SSW,196.0,西南偏南,,
PN,友誼大橋北,2026-05-30T22:15:00,,,,11.9,9.0,,,,SSW,199.0,西南偏南,,
PS,友誼大橋南,2026-05-30T22:15:00,,,,13.3,8.3,,,,SSW,195.0,西南偏南,,
PV,西灣大橋,2026-05-30T22:15:00,,,,11.2,6.5,,,,SW,222.0,西南,,
TG,大潭山,2026-05-30T22:15:00,27.6,86.0,25.1,11.9,6.5,0.0,0.0,0.0,SSW,206.0,西南偏南,1010.2,997.2
UM,澳門大學,2026-05-30T22:15:00,28.8,80.0,25.0,9.4,5.8,0.0,0.0,0.0,SW,211.0,西南,1009.9,1009.2
DC,路環市區,2026-05-30T23:40:00,29.1,81.0,25.5,4.3,1.1,0.0,0.0,0.0,SSW,207.0,西南偏南,,
DP,紀念孫中山市政公園,2026-05-30T23:40:00,28.9,79.0,24.9,11.2,5.8,0.0,0.0,0.0,WSW,255.0,西南偏西,,
EM,黑沙環,2026-05-30T23:40:00,29.4,78.0,25.1,11.2,6.5,0.0,0.0,0.0,SE,141.0,東南,,
FM,大炮台,2026-05-30T23:40:00,28.5,78.0,24.4,9.7,6.5,0.0,0.0,0.0,SW,218.0,西南,,
JA,東亞運大馬路,2026-05-30T23:40:00,28.6,81.0,25.1,0.0,0.0,0.0,0.0,0.0,SSE,158.0,東南偏南,1010.1,1009.4
KV,九澳,2026-05-30T23:40:00,27.3,88.0,25.2,12.2,7.6,0.0,0.0,0.0,S,188.0,南,1010.2,1007.0
MM,媽閣,2026-05-30T23:40:00,28.9,79.0,24.8,9.0,5.4,0.0,0.0,0.0,SSW,208.0,西南偏南,1010.3,1008.5
MN,澳門大橋北,2026-05-30T23:40:00,,,,16.6,13.0,,,,SSW,196.0,西南偏南,,
MS,澳門大橋南,2026-05-30T23:40:00,,,,14.0,9.0,,,,S,176.0,南,,
PE,外港,2026-05-30T23:40:00,28.8,80.0,25.0,14.8,11.2,0.0,0.0,0.0,S,178.0,南,1009.9,1008.0
PG,嘉樂庇總督大橋,2026-05-30T23:40:00,,,,8.6,6.8,,,,SW,238.0,西南,,
PL,蓮花大橋,2026-05-30T23:40:00,,,,9.7,7.2,,,,S,182.0,南,,
PN,友誼大橋北,2026-05-30T23:40:00,,,,12.6,8.6,,,,SSW,193.0,西南偏南,,
PS,友誼大橋南,2026-05-30T23:40:00,,,,12.2,8.3,,,,S,188.0,南,,
PV,西灣大橋,2026-05-30T23:40:00,,,,11.2,6.8,,,,SW,220.0,西南,,
TG,大潭山,2026-05-30T23:40:00,27.5,87.0,25.1,10.8,6.1,0.0,0.0,0.0,SSW,205.0,西南偏南,1010.1,997.1
UM,澳門大學,2026-05-30T23:40:00,28.4,82.0,25.1,7.9,4.3,0.0,0.0,0.0,S,179.0,南,1009.9,1009.2
DC,路環市區,2026-05-31T01:10:00,29.2,78.0,24.9,8.6,2.9,0.0,0.0,0.0,ESE,118.0,東南偏東,,
DP,紀念孫中山市政公園,2026-05-31T01:10:00,29.2,78.0,25.0,11.2,2.9,0.0,0.0,0.0,SW,227.0,西南,,
EM,黑沙環,2026-05-31T01:10:00,29.1,79.0,25.0,14.8,9.7,0.0,0.0,0.0,SE,144.0,東南,,
FM,大炮台,2026-05-31T01:10:00,28.5,79.0,24.5,8.6,4.0,0.0,0.0,0.0,S,164.0,南,,
JA,東亞運大馬路,2026-05-31T01:10:00,28.8,81.0,25.3,11.2,5.8,0.0,0.0,0.0,SE,125.0,東南,1009.5,1008.8
KV,九澳,2026-05-31T01:10:00,28.2,83.0,25.0,14.4,10.1,0.0,0.0,0.0,S,185.0,南,1009.8,1006.5
MM,媽閣,2026-05-31T01:10:00,28.9,78.0,24.8,12.6,7.2,0.0,0.0,0.0,S,179.0,南,1009.8,1007.9
MN,澳門大橋北,2026-05-31T01:10:00,,,,17.6,10.8,,,,SSE,153.0,東南偏南,,
MS,澳門大橋南,2026-05-31T01:10:00,,,,17.6,13.7,,,,SSE,152.0,東南偏南,,
PE,外港,2026-05-31T01:10:00,28.8,80.0,25.1,18.4,14.0,0.0,0.0,0.0,SSE,153.0,東南偏南,1009.4,1007.5
PG,嘉樂庇總督大橋,2026-05-31T01:10:00,,,,14.4,11.2,,,,S,175.0,南,,
PL,蓮花大橋,2026-05-31T01:10:00,,,,13.3,10.1,,,,SSE,159.0,東南偏南,,
PN,友誼大橋北,2026-05-31T01:10:00,,,,14.0,10.1,,,,S,161.0,南,,
PS,友誼大橋南,2026-05-31T01:10:00,,,,18.0,12.6,,,,S,184.0,南,,
PV,西灣大橋,2026-05-31T01:10:00,,,,10.8,6.1,,,,SSE,155.0,東南偏南,,
TG,大潭山,2026-05-31T01:10:00,27.8,84.0,24.9,14.0,7.9,0.0,0.0,0.0,S,163.0,南,1009.5,996.6
UM,澳門大學,2026-05-31T01:10:00,28.5,82.0,25.2,11.5,5.8,0.0,0.0,0.0,SSE,160.0,東南偏南,1009.4,1008.7
DC,路環市區,2026-05-31T02:35:00,29.2,77.0,24.9,5.0,2.2,0.0,0.0,0.0,SE,142.0,東南,,
DP,紀念孫中山市政公園,2026-05-31T02:35:00,29.2,77.0,24.7,10.1,3.2,0.0,0.0,0.0,SSE,152.0,東南偏南,,
EM,黑沙環,2026-05-31T02:35:00,29.1,79.0,25.0,14.8,9.4,0.0,0.0,0.0,SE,142.0,東南,,
FM,大炮台,2026-05-31T02:35:00,28.5,78.0,24.2,11.2,4.7,0.0,0.0,0.0,S,166.0,南,,
JA,東亞運大馬路,2026-05-31T02:35:00,28.8,80.0,24.9,14.0,8.3,0.0,0.0,0.0,SE,133.0,東南,1008.7,1008.0
KV,九澳,2026-05-31T02:35:00,28.2,84.0,25.2,14.8,10.1,0.0,0.0,0.0,S,176.0,南,1009.0,1005.7
MM,媽閣,2026-05-31T02:35:00,29.0,78.0,24.7,10.1,5.8,0.0,0.0,0.0,S,181.0,南,1009.0,1007.1
MN,澳門大橋北,2026-05-31T02:35:00,,,,19.8,12.6,,,,SSE,154.0,東南偏南,,
MS,澳門大橋南,2026-05-31T02:35:00,,,,22.0,16.9,,,,SSE,152.0,東南偏南,,
PE,外港,2026-05-31T02:35:00,28.9,81.0,25.2,20.2,15.8,0.0,0.0,0.0,SSE,154.0,東南偏南,1008.6,1006.7
PG,嘉樂庇總督大橋,2026-05-31T02:35:00,,,,15.8,10.4,,,,S,175.0,南,,
PL,蓮花大橋,2026-05-31T02:35:00,,,,16.9,13.0,,,,S,162.0,南,,
PN,友誼大橋北,2026-05-31T02:35:00,,,,20.5,14.4,,,,S,161.0,南,,
PS,友誼大橋南,2026-05-31T02:35:00,,,,16.2,11.5,,,,S,177.0,南,,
PV,西灣大橋,2026-05-31T02:35:00,,,,13.7,8.3,,,,S,162.0,南,,
TG,大潭山,2026-05-31T02:35:00,27.8,85.0,25.1,16.6,9.7,0.0,0.0,0.0,SSE,151.0,東南偏南,1008.7,995.8
UM,澳門大學,2026-05-31T02:35:00,28.8,80.0,25.0,14.0,8.3,0.0,0.0,0.0,S,161.0,南,1008.6,1007.9
DC,路環市區,2026-05-31T04:10:00,29.0,79.0,25.0,6.5,2.5,0.0,0.0,0.0,ESE,103.0,東南偏東,,
DP,紀念孫中山市政公園,2026-05-31T04:10:00,28.8,80.0,25.0,15.1,5.8,0.0,0.0,0.0,SE,138.0,東南,,
EM,黑沙環,2026-05-31T04:10:00,28.8,80.0,25.0,16.9,11.2,0.0,0.0,0.0,SE,145.0,東南,,
FM,大炮台,2026-05-31T04:10:00,28.2,81.0,24.5,14.0,6.5,0.0,0.0,0.0,SE,139.0,東南,,
JA,東亞運大馬路,2026-05-31T04:10:00,28.6,82.0,25.3,11.9,6.5,0.0,0.0,0.0,SE,146.0,東南,1008.9,1008.2
KV,九澳,2026-05-31T04:10:00,28.1,83.0,25.1,14.0,7.2,0.0,0.0,0.0,SE,148.0,東南,1009.2,1005.9
MM,媽閣,2026-05-31T04:10:00,28.7,80.0,24.9,9.4,4.3,0.0,0.0,0.0,SSE,157.0,東南偏南,1009.1,1007.2
MN,澳門大橋北,2026-05-31T04:10:00,,,,20.9,16.9,,,,SE,125.0,東南,,
MS,澳門大橋南,2026-05-31T04:10:00,,,,22.3,17.6,,,,SE,131.0,東南,,
PE,外港,2026-05-31T04:10:00,28.5,82.0,25.1,14.0,11.9,0.0,0.0,0.0,SE,136.0,東南,1008.7,1006.8
PG,嘉樂庇總督大橋,2026-05-31T04:10:00,,,,16.9,12.6,,,,ESE,117.0,東南偏東,,
PL,蓮花大橋,2026-05-31T04:10:00,,,,15.5,10.1,,,,SSE,154.0,東南偏南,,
PN,友誼大橋北,2026-05-31T04:10:00,,,,20.9,15.1,,,,SE,129.0,東南,,
PS,友誼大橋南,2026-05-31T04:10:00,,,,17.3,13.7,,,,SE,138.0,東南,,
PV,西灣大橋,2026-05-31T04:10:00,,,,10.1,6.1,,,,SSE,152.0,東南偏南,,
TG,大潭山,2026-05-31T04:10:00,27.5,86.0,25.0,13.0,5.4,0.0,0.0,0.0,SE,125.0,東南,1008.9,996.0
UM,澳門大學,2026-05-31T04:10:00,28.4,84.0,25.4,11.5,6.1,0.0,0.0,0.0,SE,132.0,東南,1008.7,1008.0
DC,路環市區,2026-05-31T05:30:00,27.7,88.0,25.6,7.6,4.0,0.0,2.4,2.4,N,7.0,北,,
DP,紀念孫中山市政公園,2026-05-31T05:30:00,26.2,97.0,25.7,16.2,5.0,0.4,24.8,25.6,E,95.0,東,,
EM,黑沙環,2026-05-31T05:30:00,27.2,89.0,25.3,20.9,11.5,0.6,5.8,5.8,S,187.0,南,,
FM,大炮台,2026-05-31T05:30:00,26.5,94.0,25.4,9.4,4.0,0.6,11.4,11.4,SE,147.0,東南,,
JA,東亞運大馬路,2026-05-31T05:30:00,26.9,93.0,25.7,7.9,3.6,0.2,4.4,4.4,SE,142.0,東南,1009.4,1008.7
KV,九澳,2026-05-31T05:30:00,26.4,94.0,25.5,15.5,9.0,0.2,7.6,7.6,S,165.0,南,1009.6,1006.3
MM,媽閣,2026-05-31T05:30:00,27.3,90.0,25.4,10.1,6.5,0.4,2.0,2.0,S,165.0,南,1009.7,1007.8
MN,澳門大橋北,2026-05-31T05:30:00,,,,22.0,15.1,,,,SE,140.0,東南,,
MS,澳門大橋南,2026-05-31T05:30:00,,,,22.3,16.6,,,,SE,135.0,東南,,
PE,外港,2026-05-31T05:30:00,26.8,92.0,25.3,23.8,15.5,0.8,11.6,11.6,SE,147.0,東南,1009.3,1007.4
PG,嘉樂庇總督大橋,2026-05-31T05:30:00,,,,13.0,8.6,,,,ESE,119.0,東南偏東,,
PL,蓮花大橋,2026-05-31T05:30:00,,,,15.1,8.3,,,,ESE,112.0,東南偏東,,
PN,友誼大橋北,2026-05-31T05:30:00,,,,16.9,12.2,,,,SSE,154.0,東南偏南,,
PS,友誼大橋南,2026-05-31T05:30:00,,,,18.4,14.0,,,,SE,139.0,東南,,
PV,西灣大橋,2026-05-31T05:30:00,,,,11.5,6.5,,,,SE,140.0,東南,,
TG,大潭山,2026-05-31T05:30:00,26.3,95.0,25.4,12.2,8.3,0.0,5.6,5.6,S,162.0,南,1009.3,996.4
UM,澳門大學,2026-05-31T05:30:00,26.9,94.0,25.8,18.4,12.2,0.2,7.4,7.4,ENE,79.0,東北偏東,1009.2,1008.5
DC,路環市區,2026-05-31T06:30:00,26.5,93.0,25.2,6.8,2.5,0.0,4.0,6.4,NNW,339.0,西北偏北,,
DP,紀念孫中山市政公園,2026-05-31T06:30:00,25.1,97.0,24.7,5.8,2.9,1.6,29.2,54.8,NE,39.0,東北,,
EM,黑沙環,2026-05-31T06:30:00,26.2,90.0,24.4,7.2,3.6,0.8,9.0,14.8,NNE,26.0,東北偏北,,
FM,大炮台,2026-05-31T06:30:00,25.0,95.0,24.3,13.3,7.2,0.6,27.6,39.0,NE,54.0,東北,,
JA,東亞運大馬路,2026-05-31T06:30:00,25.7,96.0,25.1,5.4,0.4,1.2,29.6,34.0,NW,303.0,西北,1010.3,1009.6
KV,九澳,2026-05-31T06:30:00,26.0,94.0,25.1,19.1,8.3,0.0,2.6,10.2,NW,324.0,西北,1010.6,1007.3
MM,媽閣,2026-05-31T06:30:00,25.8,97.0,25.2,13.7,6.8,0.2,40.4,42.4,SSE,155.0,東南偏南,1010.7,1008.8
MN,澳門大橋北,2026-05-31T06:30:00,,,,16.9,11.9,,,,NNW,342.0,西北偏北,,
MS,澳門大橋南,2026-05-31T06:30:00,,,,22.0,15.1,,,,N,2.0,北,,
PE,外港,2026-05-31T06:30:00,25.8,93.0,24.6,19.8,13.3,0.4,14.2,25.8,NW,320.0,西北,1010.3,1008.4
PG,嘉樂庇總督大橋,2026-05-31T06:30:00,,,,15.8,6.1,,,,SW,221.0,西南,,
PL,蓮花大橋,2026-05-31T06:30:00,,,,11.2,7.6,,,,NW,302.0,西北,,
PN,友誼大橋北,2026-05-31T06:30:00,,,,17.3,11.9,,,,NNW,330.0,西北偏北,,
PS,友誼大橋南,2026-05-31T06:30:00,,,,21.2,14.0,,,,NNW,330.0,西北偏北,,
PV,西灣大橋,2026-05-31T06:30:00,,,,13.7,9.4,,,,SSE,153.0,東南偏南,,
TG,大潭山,2026-05-31T06:30:00,25.3,96.0,24.6,20.2,12.6,0.8,4.4,10.0,NNE,13.0,東北偏北,1010.4,997.3
UM,澳門大學,2026-05-31T06:30:00,26.1,94.0,25.1,11.5,5.8,0.6,8.0,15.4,NW,318.0,西北,1010.0,1009.3
DC,路環市區,2026-05-31T07:30:00,25.8,94.0,24.7,9.4,5.8,0.0,11.0,17.4,NE,36.0,東北,,
DP,紀念孫中山市政公園,2026-05-31T07:30:00,25.1,98.0,24.7,9.7,4.0,0.0,21.0,75.8,SSW,210.0,西南偏南,,
EM,黑沙環,2026-05-31T07:30:00,25.8,93.0,24.6,10.4,4.0,0.0,13.6,28.4,S,162.0,南,,
FM,大炮台,2026-05-31T07:30:00,24.8,96.0,24.1,10.1,5.0,0.0,9.6,48.6,SSW,202.0,西南偏南,,
JA,東亞運大馬路,2026-05-31T07:30:00,25.3,94.0,24.3,10.4,4.7,0.0,9.2,43.2,S,179.0,南,1011.0,1010.3
KV,九澳,2026-05-31T07:30:00,24.7,97.0,24.2,8.6,2.5,0.2,30.2,40.4,E,89.0,東,1011.4,1008.1
MM,媽閣,2026-05-31T07:30:00,25.2,96.0,24.5,14.0,9.7,0.0,8.4,50.8,SSE,160.0,東南偏南,1011.3,1009.4
MN,澳門大橋北,2026-05-31T07:30:00,,,,18.0,14.8,,,,E,93.0,東,,
MS,澳門大橋南,2026-05-31T07:30:00,,,,15.5,11.5,,,,E,95.0,東,,
PE,外港,2026-05-31T07:30:00,25.6,95.0,24.7,15.5,8.6,0.0,8.2,34.0,SE,148.0,東南,1010.8,1008.9
PG,嘉樂庇總督大橋,2026-05-31T07:30:00,,,,12.6,10.1,,,,SSE,154.0,東南偏南,,
PL,蓮花大橋,2026-05-31T07:30:00,,,,12.2,6.8,,,,S,182.0,南,,
PN,友誼大橋北,2026-05-31T07:30:00,,,,11.5,6.5,,,,ESE,108.0,東南偏東,,
